,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1.02932,1.02903,1.03348,1.0068,0.990078,0.99753,1.01834,1.03113,1.0345,1.05222,1.04709,1.04154,1.04595,1.03418,1.02877,1.01988,1.00613,0.993088,0.977793,0.99318,1.0018,1.01063,1.03034,1.04875,1.05566,
2,1.02903,1.01643,1.01428,0.995857,0.97855,0.982808,0.988929,0.994932,0.996001,0.99647,0.989937,0.988892,0.992944,0.991653,0.992217,0.9884,0.97732,0.969374,0.96553,0.983661,0.986947,0.990789,1.00106,1.01774,1.02624,
3,1.03348,1.01428,1.01253,0.996011,0.978248,0.981757,0.983827,0.987119,0.987158,0.98539,0.979733,0.980292,0.984692,0.984732,0.985267,0.98099,0.968771,0.958299,0.953492,0.973334,0.978171,0.982854,0.995117,1.01314,1.02256,
4,1.0068,0.995857,0.996011,0.978381,0.963798,0.967715,0.967297,0.970311,0.970137,0.970145,0.965797,0.967672,0.97294,0.974611,0.975496,0.97245,0.963571,0.954996,0.947939,0.960241,0.961775,0.96534,0.97449,0.9917,1.00067,
5,0.990078,0.97855,0.978248,0.963798,0.953433,0.957008,0.955443,0.958754,0.959249,0.959824,0.956536,0.957904,0.962272,0.964308,0.964676,0.962239,0.956641,0.951861,0.946843,0.955103,0.955878,0.958569,0.964576,0.977785,0.984676,
6,0.99753,0.982808,0.981757,0.967715,0.957008,0.961359,0.960122,0.964017,0.964231,0.964561,0.961182,0.961831,0.965665,0.967299,0.967428,0.96481,0.958969,0.95499,0.951855,0.961951,0.962797,0.965618,0.971072,0.983611,0.990005,
7,1.01834,0.988929,0.983827,0.967297,0.955443,0.960122,0.960422,0.964779,0.965408,0.966169,0.962505,0.962677,0.966273,0.967512,0.967845,0.965504,0.959217,0.955079,0.952402,0.963612,0.964004,0.966402,0.97107,0.983928,0.990648,
8,1.03113,0.994932,0.987119,0.970311,0.958754,0.964017,0.964779,0.970362,0.971457,0.972684,0.968961,0.968663,0.972106,0.973511,0.973969,0.972054,0.966443,0.963529,0.96151,0.97261,0.972131,0.974019,0.976772,0.988089,0.993677,
9,1.0345,0.996001,0.987158,0.970137,0.959249,0.964231,0.965408,0.971457,0.973167,0.974798,0.971152,0.970782,0.974189,0.975616,0.976046,0.974275,0.969287,0.966894,0.964552,0.974463,0.973985,0.975669,0.977985,0.988573,0.993897,
10,1.05222,0.99647,0.98539,0.970145,0.959824,0.964561,0.966169,0.972684,0.974798,0.975959,0.972504,0.971363,0.973849,0.974675,0.974581,0.972511,0.967911,0.96694,0.966777,0.977586,0.978002,0.979748,0.981747,0.990769,0.995436,
11,1.04709,0.989937,0.979733,0.965797,0.956536,0.961182,0.962505,0.968961,0.971152,0.972504,0.969352,0.968086,0.970271,0.970854,0.970425,0.968106,0.963804,0.963275,0.963457,0.973872,0.974827,0.976848,0.979039,0.987603,0.992075,
12,1.04154,0.988892,0.980292,0.967672,0.957904,0.961831,0.962677,0.968663,0.970782,0.971363,0.968086,0.966892,0.969101,0.969731,0.969238,0.966677,0.9622,0.961571,0.961922,0.972594,0.974312,0.976568,0.979699,0.988485,0.993266,
13,1.04595,0.992944,0.984692,0.97294,0.962272,0.965665,0.966273,0.972106,0.974189,0.973849,0.970271,0.969101,0.971352,0.972136,0.971701,0.969048,0.964389,0.963777,0.96451,0.97582,0.977964,0.980214,0.983864,0.992638,0.997518,
14,1.03418,0.991653,0.984732,0.974611,0.964308,0.967299,0.967512,0.973511,0.975616,0.974675,0.970854,0.969731,0.972136,0.973241,0.972926,0.970407,0.96616,0.965983,0.966854,0.977753,0.979843,0.981929,0.985503,0.99361,0.997977,
15,1.02877,0.992217,0.985267,0.975496,0.964676,0.967428,0.967845,0.973969,0.976046,0.974581,0.970425,0.969238,0.971701,0.972926,0.972701,0.970307,0.966007,0.965876,0.967173,0.978599,0.980508,0.982429,0.986044,0.994101,0.998278,
16,1.01988,0.9884,0.98099,0.97245,0.962239,0.96481,0.965504,0.972054,0.974275,0.972511,0.968106,0.966677,0.969048,0.970407,0.970307,0.968199,0.964401,0.96493,0.966855,0.978263,0.979866,0.981455,0.984381,0.991495,0.994908,
17,1.00613,0.97732,0.968771,0.963571,0.956641,0.958969,0.959217,0.966443,0.969287,0.967911,0.963804,0.9622,0.964389,0.96616,0.966007,0.964401,0.962203,0.964152,0.966436,0.97611,0.977177,0.978193,0.979263,0.983772,0.985188,
18,0.993088,0.969374,0.958299,0.954996,0.951861,0.95499,0.955079,0.963529,0.966894,0.96694,0.963275,0.961571,0.963777,0.965983,0.965876,0.96493,0.964152,0.966976,0.968961,0.976867,0.976319,0.976624,0.975036,0.97726,0.976238,
19,0.977793,0.96553,0.953492,0.947939,0.946843,0.951855,0.952402,0.96151,0.964552,0.966777,0.963457,0.961922,0.96451,0.966854,0.967173,0.966855,0.966436,0.968961,0.969008,0.975325,0.972987,0.972989,0.96948,0.971792,0.970185,
20,0.99318,0.983661,0.973334,0.960241,0.955103,0.961951,0.963612,0.97261,0.974463,0.977586,0.973872,0.972594,0.97582,0.977753,0.978599,0.978263,0.97611,0.976867,0.975325,0.982559,0.979257,0.979589,0.976885,0.982522,0.983284,
21,1.0018,0.986947,0.978171,0.961775,0.955878,0.962797,0.964004,0.972131,0.973985,0.978002,0.974827,0.974312,0.977964,0.979843,0.980508,0.979866,0.977177,0.976319,0.972987,0.979257,0.976124,0.976952,0.975666,0.983155,0.985458,
22,1.01063,0.990789,0.982854,0.96534,0.958569,0.965618,0.966402,0.974019,0.975669,0.979748,0.976848,0.976568,0.980214,0.981929,0.982429,0.981455,0.978193,0.976624,0.972989,0.979589,0.976952,0.978199,0.977897,0.986316,0.989455,
23,1.03034,1.00106,0.995117,0.97449,0.964576,0.971072,0.97107,0.976772,0.977985,0.981747,0.979039,0.979699,0.983864,0.985503,0.986044,0.984381,0.979263,0.975036,0.96948,0.976885,0.975666,0.977897,0.980553,0.992128,0.997858,
24,1.04875,1.01774,1.01314,0.9917,0.977785,0.983611,0.983928,0.988089,0.988573,0.990769,0.987603,0.988485,0.992638,0.99361,0.994101,0.991495,0.983772,0.97726,0.971792,0.982522,0.983155,0.986316,0.992128,1.0061,1.01367,
25,1.05566,1.02624,1.02256,1.00067,0.984676,0.990005,0.990648,0.993677,0.993897,0.995436,0.992075,0.993266,0.997518,0.997977,0.998278,0.994908,0.985188,0.976238,0.970185,0.983284,0.985458,0.989455,0.997858,1.01367,1.02228,
